listing_id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,min_nights,total_reviews,avg_rating,price
445,Capitol Hill,8/17/2015,F,,1,Entire home/apt,8,2.5 baths,4,6,31,5,5,275
446,Union Station,5/29/2012,T,1,4,Entire home/apt,4,1 bath,,2,1,496,4.94,156
448,Capitol Hill,2/18/2016,T,1,1,Entire home/apt,3,1 bath,1,2,2,302,4.85,133
449,Union Station,7/25/2015,T,1,2,Entire home/apt,2,1.5 baths,1,1,5,94,4.99,110
451,Union Station,6/2/2016,T,0.96,2,Entire home/apt,8,2 baths,3,3,31,33,4.94,189
453,Shaw,6/11/2014,T,0.92,157,Entire home/apt,5,1.5 baths,2,2,30,6,4,263
454,Shaw,6/11/2014,T,0.92,157,Entire home/apt,5,1.5 baths,2,2,3,24,4.63,229
455,Dupont Circle,6/5/2017,F,,3,Entire home/apt,4,1 bath,1,2,31,106,4.8,146
459,Capitol Hill,7/5/2016,F,1,2,Entire home/apt,6,2.5 baths,3,3,31,31,4.97,375
461,Shaw,5/3/2016,T,1,3,Entire home/apt,2,1 bath,,1,1,99,4.88,124
463,Dupont Circle,7/11/2016,F,,2,Entire home/apt,2,1.5 baths,1,1,31,1,0,100
466,Union Station,5/5/2016,T,1,2,Entire home/apt,6,3.5 baths,3,4,31,4,5,190
468,Capitol Hill,7/6/2016,F,,1,Entire home/apt,4,1 bath,1,2,31,6,4.67,450
471,Shaw,7/28/2010,F,,6,Entire home/apt,3,1 bath,1,2,31,2,5,125
475,Foggy Bottom,7/30/2016,F,,1,Entire home/apt,3,1 bath,2,1,31,102,4.82,129
477,Capitol Hill,8/3/2016,F,1,2,Entire home/apt,4,1 bath,1,1,270,16,4.86,95
478,Capitol Hill,8/3/2016,F,1,2,Entire home/apt,4,1 bath,1,3,270,40,4.8,90
480,Union Station,12/5/2012,T,1,1,Entire home/apt,3,1.5 baths,1,2,3,158,4.96,149
481,Dupont Circle,7/2/2013,F,,1,Entire home/apt,2,1 bath,1,1,120,6,4.83,125
483,Shaw,9/2/2012,T,1,29,Entire home/apt,10,3 baths,4,4,31,37,4.84,597
484,Shaw,9/2/2012,T,1,29,Entire home/apt,5,3 baths,4,4,31,31,4.8,536
485,Union Station,8/9/2016,T,1,1,Entire home/apt,4,1 bath,,3,3,28,4.96,198
487,Shaw,8/15/2016,T,0.99,5,Entire home/apt,8,2.5 baths,3,4,3,169,4.92,372
